province,year,transport_value_added_100m_cny,total_generation_100m_kwh,hydro_generation_100m_kwh,thermal_generation_100m_kwh,clean_generation_100m_kwh,hydro_share,clean_power_ratio,nev_stock_10k,gasoline_consumption_10k_ton,diesel_consumption_10k_ton,fuel_total_10k_ton,diesel_share_in_fuel,fuel_intensity_per_100m_cny,public_charging_piles,national_bev_buses
山东省,2014,2301.3,3691.12,5.15,3534.44,156.67999999999984,0.0013952404690175,0.0424478207156635,,113.90977433786996,830.0892090041502,943.9989833420202,0.8793327362127049,0.4102024870038761,,
山东省,2015,2453.9,4685.0,7.77,4502.09,182.90999999999983,0.00165848452508,0.0390416221985058,,122.41,843.85,966.26,0.8733156707304452,0.3937650270997188,,
山东省,2016,2683.8,5329.27,13.92,5142.88,186.3900000000004,0.0026119900098887,0.0349747714039634,,129.73,858.428677773526,988.158677773526,0.8687154169487216,0.3681938586234168,,
山东省,2017,3244.4,5162.74,6.26,4913.85,248.88999999999945,0.0012125344293921,0.0482088968261038,,139.59,951.32,1090.91,0.8720426066311611,0.3362439896436938,17557.0,
山东省,2018,3408.5,5825.61,4.64,5524.79,300.8199999999997,0.0007964831150729,0.051637510921603,,146.61,917.64,1064.25,0.8622410147991543,0.3122341205809006,20288.0,
山东省,2019,3540.1,5897.22,5.23,5292.91,604.3100000000004,0.0008868585536914,0.1024737079505259,,148.31,927.47,1075.78,0.8621372399561249,0.3038840710714386,,324464.0
山东省,2020,3303.0,5806.43,8.66,5141.56,664.8699999999999,0.0014914499959527,0.1145058151049784,,140.9,773.58,914.48,0.8459233662846646,0.2768634574629125,,
山东省,2021,3981.7,6210.32,12.36,5281.04,929.2799999999996,0.0019902356078269,0.1496348014273016,,154.99,812.26,967.25,0.8397622124579994,0.2429238767360675,45600.0,419500.0
山东省,2022,4175.1,6203.58,28.08,5091.57,1112.0100000000002,0.0045264186163473,0.1792529474916097,90.57360943466864,184.0,869.0,1053.0,0.8252611585944919,0.252209527915499,90000.0,455500.0
山东省,2023,4256.0,6508.08,37.89,5124.04,1384.04,0.0058219935833609,0.2126648719745301,140.91825817130845,,,,,,102300.0,473900.0
山西省,2012,689.5,2454.8,40.92,2396.42,58.38000000000011,0.0166693824344142,0.0237819781652273,,109.93,347.3,457.23,0.7595739562145966,0.6631327048585932,,
山西省,2013,636.7,2641.11,38.87,2551.32,89.78999999999996,0.0147172968941089,0.0339970694139963,,114.58,369.03,483.61,0.7630735510018404,0.7595570912517668,,
山西省,2014,648.6,2647.02,32.93,2546.03,100.98999999999978,0.0124404046814908,0.038152337345392,,109.23,358.59,467.82,0.7665127613184558,0.7212765957446808,,
山西省,2015,726.1,2449.0,29.26,2319.77,129.23000000000002,0.0119477337688852,0.0527684769293589,,108.3,374.76,483.06,0.7758042479195131,0.6652802644263875,,
山西省,2016,750.5,2535.08,37.5,2362.85,172.23000000000002,0.0147924325859538,0.067938684380769,,112.86,377.1,489.96,0.7696546656869948,0.6528447701532313,,
山西省,2017,859.1,2823.94,42.22,2589.12,234.82000000000016,0.0149507425795165,0.0831533247873538,,115.53,389.76,505.29,0.7713590215519801,0.5881620300314282,,
山西省,2018,990.7,3180.52,43.18,2853.44,327.0799999999999,0.0135763963125526,0.1028385295486272,,142.36,321.2,463.56,0.6928984381741307,0.4679115776723528,,
山西省,2019,1047.9,3361.67,49.07,2960.8,400.8699999999999,0.014596911654029,0.1192472788822222,,145.18,331.38,476.56,0.695358401880141,0.4547762191048763,,324464.0
山西省,2020,1093.1,3503.54,46.76,3032.5,471.04,0.0133465009675927,0.1344468737334239,,135.88,231.38,367.26,0.6300168817731308,0.3359802396852987,,
